date,category,line,model,item,quantity
2018-01-01,Electronics,TVs,55-inch,SKU001,51
2018-01-02,Electronics,TVs,55-inch,SKU001,49
2018-01-03,Electronics,TVs,55-inch,SKU001,51
2018-01-04,Electronics,TVs,55-inch,SKU001,53
2018-01-05,Electronics,TVs,55-inch,SKU001,49
2018-01-06,Electronics,TVs,55-inch,SKU001,50
2018-01-07,Electronics,TVs,55-inch,SKU001,53
2018-01-08,Electronics,TVs,55-inch,SKU001,52
2018-01-09,Electronics,TVs,55-inch,SKU001,49
2018-01-10,Electronics,TVs,55-inch,SKU001,51
2018-01-11,Electronics,TVs,55-inch,SKU001,50
2018-01-12,Electronics,TVs,55-inch,SKU001,50
2018-01-13,Electronics,TVs,55-inch,SKU001,51
2018-01-14,Electronics,TVs,55-inch,SKU001,47
2018-01-15,Electronics,TVs,55-inch,SKU001,47
2018-01-16,Electronics,TVs,55-inch,SKU001,50
2018-01-17,Electronics,TVs,55-inch,SKU001,49
2018-01-18,Electronics,TVs,55-inch,SKU001,52
2018-01-19,Electronics,TVs,55-inch,SKU001,49
2018-01-20,Electronics,TVs,55-inch,SKU001,48
2018-01-21,Electronics,TVs,55-inch,SKU001,54
2018-01-22,Electronics,TVs,55-inch,SKU001,51
2018-01-23,Electronics,TVs,55-inch,SKU001,52
2018-01-24,Electronics,TVs,55-inch,SKU001,49
2018-01-25,Electronics,TVs,55-inch,SKU001,51
2018-01-26,Electronics,TVs,55-inch,SKU001,52
2018-01-27,Electronics,TVs,55-inch,SKU001,49
2018-01-28,Electronics,TVs,55-inch,SKU001,53
2018-01-29,Electronics,TVs,55-inch,SKU001,51
2018-01-30,Electronics,TVs,55-inch,SKU001,51
2018-01-31,Electronics,TVs,55-inch,SKU001,51
2018-02-01,Electronics,TVs,55-inch,SKU001,56
2018-02-02,Electronics,TVs,55-inch,SKU001,52
2018-02-03,Electronics,TVs,55-inch,SKU001,50
2018-02-04,Electronics,TVs,55-inch,SKU001,54
2018-02-05,Electronics,TVs,55-inch,SKU001,50
2018-02-06,Electronics,TVs,55-inch,SKU001,53
2018-02-07,Electronics,TVs,55-inch,SKU001,49
2018-02-08,Electronics,TVs,55-inch,SKU001,50
2018-02-09,Electronics,TVs,55-inch,SKU001,53
2018-02-10,Electronics,TVs,55-inch,SKU001,54
2018-02-11,Electronics,TVs,55-inch,SKU001,53
2018-02-12,Electronics,TVs,55-inch,SKU001,53
2018-02-13,Electronics,TVs,55-inch,SKU001,52
2018-02-14,Electronics,TVs,55-inch,SKU001,50
2018-02-15,Electronics,TVs,55-inch,SKU001,52
2018-02-16,Electronics,TVs,55-inch,SKU001,52
2018-02-17,Electronics,TVs,55-inch,SKU001,55
2018-02-18,Electronics,TVs,55-inch,SKU001,54
2018-02-19,Electronics,TVs,55-inch,SKU001,50
2018-02-20,Electronics,TVs,55-inch,SKU001,54
2018-02-21,Electronics,TVs,55-inch,SKU001,53
2018-02-22,Electronics,TVs,55-inch,SKU001,52
2018-02-23,Electronics,TVs,55-inch,SKU001,55
2018-02-24,Electronics,TVs,55-inch,SKU001,56
2018-02-25,Electronics,TVs,55-inch,SKU001,56
2018-02-26,Electronics,TVs,55-inch,SKU001,52
2018-02-27,Electronics,TVs,55-inch,SKU001,53
2018-02-28,Electronics,TVs,55-inch,SKU001,54
2018-03-01,Electronics,TVs,55-inch,SKU001,56
2018-03-02,Electronics,TVs,55-inch,SKU001,53
2018-03-03,Electronics,TVs,55-inch,SKU001,54
2018-03-04,Electronics,TVs,55-inch,SKU001,52
2018-03-05,Electronics,TVs,55-inch,SKU001,52
2018-03-06,Electronics,TVs,55-inch,SKU001,56
2018-03-07,Electronics,TVs,55-inch,SKU001,57
2018-03-08,Electronics,TVs,55-inch,SKU001,54
2018-03-09,Electronics,TVs,55-inch,SKU001,56
2018-03-10,Electronics,TVs,55-inch,SKU001,55
2018-03-11,Electronics,TVs,55-inch,SKU001,53
2018-03-12,Electronics,TVs,55-inch,SKU001,55
2018-03-13,Electronics,TVs,55-inch,SKU001,57
2018-03-14,Electronics,TVs,55-inch,SKU001,54
2018-03-15,Electronics,TVs,55-inch,SKU001,57
2018-03-16,Electronics,TVs,55-inch,SKU001,49
2018-03-17,Electronics,TVs,55-inch,SKU001,56
2018-03-18,Electronics,TVs,55-inch,SKU001,55
2018-03-19,Electronics,TVs,55-inch,SKU001,54
2018-03-20,Electronics,TVs,55-inch,SKU001,55
2018-03-21,Electronics,TVs,55-inch,SKU001,51
2018-03-22,Electronics,TVs,55-inch,SKU001,54
2018-03-23,Electronics,TVs,55-inch,SKU001,55
2018-03-24,Electronics,TVs,55-inch,SKU001,57
2018-03-25,Electronics,TVs,55-inch,SKU001,54
2018-03-26,Electronics,TVs,55-inch,SKU001,53
2018-03-27,Electronics,TVs,55-inch,SKU001,54
2018-03-28,Electronics,TVs,55-inch,SKU001,56
2018-03-29,Electronics,TVs,55-inch,SKU001,55
2018-03-30,Electronics,TVs,55-inch,SKU001,54
2018-03-31,Electronics,TVs,55-inch,SKU001,56
2018-04-01,Electronics,TVs,55-inch,SKU001,55
2018-04-02,Electronics,TVs,55-inch,SKU001,57
2018-04-03,Electronics,TVs,55-inch,SKU001,53
2018-04-04,Electronics,TVs,55-inch,SKU001,54
2018-04-05,Electronics,TVs,55-inch,SKU001,54
2018-04-06,Electronics,TVs,55-inch,SKU001,52
2018-04-07,Electronics,TVs,55-inch,SKU001,55
2018-04-08,Electronics,TVs,55-inch,SKU001,55
2018-04-09,Electronics,TVs,55-inch,SKU001,55
2018-04-10,Electronics,TVs,55-inch,SKU001,54
2018-04-11,Electronics,TVs,55-inch,SKU001,52
2018-04-12,Electronics,TVs,55-inch,SKU001,54
2018-04-13,Electronics,TVs,55-inch,SKU001,54
2018-04-14,Electronics,TVs,55-inch,SKU001,53
2018-04-15,Electronics,TVs,55-inch,SKU001,54
2018-04-16,Electronics,TVs,55-inch,SKU001,55
2018-04-17,Electronics,TVs,55-inch,SKU001,58
2018-04-18,Electronics,TVs,55-inch,SKU001,55
2018-04-19,Electronics,TVs,55-inch,SKU001,55
2018-04-20,Electronics,TVs,55-inch,SKU001,54
2018-04-21,Electronics,TVs,55-inch,SKU001,50
2018-04-22,Electronics,TVs,55-inch,SKU001,54
2018-04-23,Electronics,TVs,55-inch,SKU001,54
2018-04-24,Electronics,TVs,55-inch,SKU001,59
2018-04-25,Electronics,TVs,55-inch,SKU001,54
2018-04-26,Electronics,TVs,55-inch,SKU001,55
2018-04-27,Electronics,TVs,55-inch,SKU001,54
2018-04-28,Electronics,TVs,55-inch,SKU001,52
2018-04-29,Electronics,TVs,55-inch,SKU001,56
2018-04-30,Electronics,TVs,55-inch,SKU001,56
2018-05-01,Electronics,TVs,55-inch,SKU001,56
2018-05-02,Electronics,TVs,55-inch,SKU001,52
2018-05-03,Electronics,TVs,55-inch,SKU001,57
2018-05-04,Electronics,TVs,55-inch,SKU001,51
2018-05-05,Electronics,TVs,55-inch,SKU001,55
2018-05-06,Electronics,TVs,55-inch,SKU001,58
2018-05-07,Electronics,TVs,55-inch,SKU001,52
2018-05-08,Electronics,TVs,55-inch,SKU001,53
2018-05-09,Electronics,TVs,55-inch,SKU001,54
2018-05-10,Electronics,TVs,55-inch,SKU001,53
2018-05-11,Electronics,TVs,55-inch,SKU001,50
2018-05-12,Electronics,TVs,55-inch,SKU001,54
2018-05-13,Electronics,TVs,55-inch,SKU001,51
2018-05-14,Electronics,TVs,55-inch,SKU001,54
2018-05-15,Electronics,TVs,55-inch,SKU001,51
2018-05-16,Electronics,TVs,55-inch,SKU001,56
2018-05-17,Electronics,TVs,55-inch,SKU001,52
2018-05-18,Electronics,TVs,55-inch,SKU001,52
